Area,Pop. Est
"Placer, California",392330
"Plumas, California",18741
"Riverside, California",2445789
"Sacramento, California",1538746
"San Benito, California",61467
"San Bernardino, California",2166753
"San Diego, California",3333861
"San Francisco, California",880696
"San Joaquin, California",752491
"San Luis Obispo, California",283354
"San Mateo, California",768681
"Santa Barbara, California",445780
"Santa Clara, California",1932337
"Santa Cruz, California",273841
"Shasta, California",179709
"Sierra, California",2997
"Siskiyou, California",43550
"Solano, California",445725
"Sonoma, California",498643
"Stanislaus, California",548126
"Sutter, California",96348
"Tehama, California",64018
"Trinity, California",12567
"Tulare, California",464589
"Tuolumne, California",54387
"Ventura, California",848142
"Yolo, California",220118
"Yuba, California",77557
"Adams, Colorado",511354
"Alamosa, Colorado",16248
"Arapahoe, Colorado",651797
"Archuleta, Colorado",13730
"Baca, Colorado",3584
"Bent, Colorado",5808
"Boulder, Colorado",324636
"Broomfield, Colorado",69324
"Chaffee, Colorado",20041
"Cheyenne, Colorado",1859
"Clear Creek, Colorado",9604
"Conejos, Colorado",8181
"Costilla, Colorado",3812
"Crowley, Colorado",5957
"Custer, Colorado",4934
"Delta, Colorado",30884
"Denver, Colorado",716265
"Dolores, Colorado",2060
"Douglas, Colorado",342989
"Eagle, Colorado",54943
"Elbert, Colorado",26303
"El Paso, Colorado",712089
"Fremont, Colorado",47959
"Garfield, Colorado",59701
"Gilpin, Colorado",6112
"Grand, Colorado",15511
"Gunnison, Colorado",17167
"Hinsdale, Colorado",808
"Huerfano, Colorado",6887
"Jackson, Colorado",1395
"Jefferson, Colorado",579392
"Kiowa, Colorado",1379
"Kit Carson, Colorado",7159
"Lake, Colorado",7846
"La Plata, Colorado",56299
"Larimer, Colorado",350660
"Las Animas, Colorado",14508
"Lincoln, Colorado",5606
"Logan, Colorado",22268
"Mesa, Colorado",152951
"Mineral, Colorado",772
"Moffat, Colorado",13183
"Montezuma, Colorado",26152
"Montrose, Colorado",42206
"Morgan, Colorado",28769
"Otero, Colorado",18338
"Ouray, Colorado",4822
"Park, Colorado",18525
"Phillips, Colorado",4285
"Pitkin, Colorado",17976
"Prowers, Colorado",12079
"Pueblo, Colorado",167422
"Rio Blanco, Colorado",6330
"Rio Grande, Colorado",11271
"Routt, Colorado",25507
"Saguache, Colorado",6840
"San Juan, Colorado",764
"San Miguel, Colorado",8180
"Sedgwick, Colorado",2276
"Summit, Colorado",30817
"Teller, Colorado",25113
"Washington, Colorado",4888
"Weld, Colorado",314815
"Yuma, Colorado",9947
"Fairfield, Connecticut",943971
"Hartford, Connecticut",892580
"Litchfield, Connecticut",181095
"Middlesex, Connecticut",162870
"New Haven, Connecticut",856971
"New London, Connecticut",266285
"Tolland, Connecticut",150689
"Windham, Connecticut",117059
"Kent, Delaware",178540
"New Castle, Delaware",557550
"Sussex, Delaware",229389
"District of Columbia, District of Columbia",701547
"Alachua, Florida",268851
"Baker, Florida",28353
"Bay, Florida",186240
"Bradford, Florida",27752
"Brevard, Florida",595203
"Broward, Florida",1946107
"Calhoun, Florida",14543
"Charlotte, Florida",184849
"Citrus, Florida",147682
"Clay, Florida",215908
"Collier, Florida",378201
"Columbia, Florida",70668
"DeSoto, Florida",37368
"Dixie, Florida",16685
"Duval, Florida",948652
"Escambia, Florida",315104
"Flagler, Florida",112085
"Franklin, Florida",11676
"Gadsden, Florida",45927
"Gilchrist, Florida",18284
"Glades, Florida",13686
"Gulf, Florida",16146
"Hamilton, Florida",14262
"Hardee, Florida",27168
"Hendry, Florida",41336
"Hernando, Florida",190582
"Highlands, Florida",104933
"Hillsborough, Florida",1451919
"Holmes, Florida",19443
"Indian River, Florida",157187
"Jackson, Florida",48112
"Jefferson, Florida",14321
"Lafayette, Florida",8691
"Lake, Florida",356720
"Lee, Florida",754470
"Leon, Florida",291657
"Levy, Florida",40798
"Liberty, Florida",8427
"Madison, Florida",18540
"Manatee, Florida",394387
"Marion, Florida",359062
"Martin, Florida",160742
"Miami-Dade, Florida",2714854
"Monroe, Florida",74757
"Nassau, Florida",85936
"Okaloosa, Florida",206934
"Okeechobee, Florida",41654
"Orange, Florida",1381540
"Osceola, Florida",368456
"Palm Beach, Florida",1482876
"Pasco, Florida",539090
"Pinellas, Florida",973058
"Polk, Florida",706597
"Putnam, Florida",74043
"St Johns, Florida",253814
"St Lucie, Florida",320425
"Santa Rosa, Florida",179295
"Sarasota, Florida",426329
"Seminole, Florida",468122
"Sumter, Florida",128719
"Suwannee, Florida",44179
"Taylor, Florida",21545
"Union, Florida",15328
"Volusia, Florida",546101
"Wakulla, Florida",32413
"Walton, Florida",70732
"Washington, Florida",24793
"Appling, Georgia",18526
"Atkinson, Georgia",8262
"Bacon, Georgia",11132
"Baker, Georgia",3086
"Baldwin, Georgia",44893
"Banks, Georgia",18972
"Barrow, Georgia",80834
"Bartow, Georgia",106378
"Ben Hill, Georgia",16822
"Berrien, Georgia",19266
"Bibb, Georgia",152903
"Bleckley, Georgia",12821
"Brantley, Georgia",18985
"Brooks, Georgia",15479
"Bryan, Georgia",38059
"Bulloch, Georgia",77242
"Burke, Georgia",22439
"Butts, Georgia",24192
"Calhoun, Georgia",6353
"Camden, Georgia",53651
"Candler, Georgia",10827
"Carroll, Georgia",117997
"Catoosa, Georgia",67380
"Charlton, Georgia",12919
"Chatham, Georgia",289166
"Chattahoochee, Georgia",10600
"Chattooga, Georgia",24782
"Cherokee, Georgia",253914
"Clarke, Georgia",127268
"Clay, Georgia",2884
"Clayton, Georgia",289197
"Clinch, Georgia",6603
"Cobb, Georgia",756070
"Coffee, Georgia",43055
"Colquitt, Georgia",45455
"Columbia, Georgia",154077
"Cook, Georgia",17171
"Coweta, Georgia",145998
"Crawford, Georgia",12334
"Crisp, Georgia",22617
"Dade, Georgia",16227
"Dawson, Georgia",25127
"Decatur, Georgia",26573
"DeKalb, Georgia",754906
"Dodge, Georgia",20793
"Dooly, Georgia",13709
"Dougherty, Georgia",89200
"Douglas, Georgia",145024
"Early, Georgia",10286
"Echols, Georgia",4000
"Effingham, Georgia",62228
"Elbert, Georgia",19095
"Emanuel, Georgia",22607
"Evans, Georgia",10702
"Fannin, Georgia",25981
"Fayette, Georgia",113181
"Floyd, Georgia",97964
"Forsyth, Georgia",236993
"Franklin, Georgia",23034
"Fulton, Georgia",1050131
"Gilmer, Georgia",30835
"Glascock, Georgia",2977
"Glynn, Georgia",84975
"Gordon, Georgia",57628
"Grady, Georgia",24774
"Greene, Georgia",17733
"Gwinnett, Georgia",927337
"Habersham, Georgia",45373
"Hall, Georgia",201538
"Hancock, Georgia",8368
"Haralson, Georgia",29561
"Harris, Georgia",34560
"Hart, Georgia",26071
"Heard, Georgia",11871
"Henry, Georgia",229728
"Houston, Georgia",155523
"Irwin, Georgia",9396
"Jackson, Georgia",70325
"Jasper, Georgia",14029
"Jeff Davis, Georgia",15048
"Jefferson, Georgia",15424
"Jenkins, Georgia",8765
"Johnson, Georgia",9706
"Jones, Georgia",28680
"Lamar, Georgia",18961
"Lanier, Georgia",10355
"Laurens, Georgia",47336
"Lee, Georgia",29751
"Liberty, Georgia",60606
"Lincoln, Georgia",7925
"Long, Georgia",19091
"Lowndes, Georgia",116309
"Lumpkin, Georgia",32899
"McDuffie, Georgia",21532
"McIntosh, Georgia",14322
"Macon, Georgia",13160
"Madison, Georgia",29642
"Marion, Georgia",8373
"Meriwether, Georgia",21094
"Miller, Georgia",5684
"Mitchell, Georgia",22135
"Monroe, Georgia",27503
"Montgomery, Georgia",9168
"Morgan, Georgia",18831
"Murray, Georgia",39943
"Muscogee, Georgia",194169
"Newton, Georgia",109421
"Oconee, Georgia",39478
"Oglethorpe, Georgia",15080
"Paulding, Georgia",164053
"Peach, Georgia",27363
"Pickens, Georgia",32014
"Pierce, Georgia",19388
"Pike, Georgia",18647
"Polk, Georgia",42346
"Pulaski, Georgia",11080
"Putnam, Georgia",21820
"Quitman, Georgia",2260
"Rabun, Georgia",16857
"Randolph, Georgia",6812
"Richmond, Georgia",201667
"Rockdale, Georgia",90505
"Schley, Georgia",5230
"Screven, Georgia",13960
"Seminole, Georgia",8270
"Spalding, Georgia",66107
"Stephens, Georgia",26007
"Stewart, Georgia",6435
"Sumter, Georgia",29796
"Talbot, Georgia",6290
"Taliaferro, Georgia",1612
"Tattnall, Georgia",25485
"Taylor, Georgia",8020
"Telfair, Georgia",15974
"Terrell, Georgia",8587
"Thomas, Georgia",44334
"Tift, Georgia",40542
"Toombs, Georgia",26902
"Towns, Georgia",11866
"Treutlen, Georgia",6813
"Troup, Georgia",70078
"Turner, Georgia",7908
"Twiggs, Georgia",8174
"Union, Georgia",23905
"Upson, Georgia",26185
"Walker, Georgia",69443
"Walton, Georgia",93202
"Ware, Georgia",35587
"Warren, Georgia",5247
"Washington, Georgia",20410
"Wayne, Georgia",29810
"Webster, Georgia",2606
"Wheeler, Georgia",7898
"White, Georgia",29988
"Whitfield, Georgia",104249
"Wilcox, Georgia",8827
"Wilkes, Georgia",9864
"Wilkinson, Georgia",9043
"Worth, Georgia",20302
"Hawaii, Hawaii",201509
"Honolulu, Hawaii",979858
"Kalawao, Hawaii",86
"Kauai, Hawaii",72168
"Maui, Hawaii",166972
"Ada, Idaho",468764
"Adams, Idaho",4234
"Bannock, Idaho",86674
"Bear Lake, Idaho",6044
"Benewah, Idaho",9218
"Bingham, Idaho",46129
"Blaine, Idaho",22771
"Boise, Idaho",7655
"Bonner, Idaho",44705
"Bonneville, Idaho",116444
"Boundary, Idaho",12016
"Butte, Idaho",2587
"Camas, Idaho",1121
"Canyon, Idaho",223236
"Caribou, Idaho",7037
"Cassia, Idaho",23791
"Clark, Idaho",851
"Clearwater, Idaho",8758
"Custer, Idaho",4250
"Elmore, Idaho",27362
"Franklin, Idaho",13704
"Fremont, Idaho",13155
"Gem, Idaho",17587
"Gooding, Idaho",15116
"Idaho, Idaho",16476
"Jefferson, Idaho",29405
"Jerome, Idaho",24066
"Kootenai, Idaho",161209
"Latah, Idaho",39829
"Lemhi, Idaho",7932
"Lewis, Idaho",3832
"Lincoln, Idaho",5398
"Madison, Idaho",39261
"Minidoka, Idaho",20719
"Nez Perce, Idaho",40256
"Oneida, Idaho",4462
"Owyhee, Idaho",11669
"Payette, Idaho",23507
"Power, Idaho",7700
"Shoshone, Idaho",12790
"Teton, Idaho",11651
"Twin Falls, Idaho",86029
"Valley, Idaho",11021
"Washington, Idaho",10115
"Adams, Illinois",65623
"Alexander, Illinois",6041
"Bond, Illinois",16637
"Boone, Illinois",53480
"Brown, Illinois",6563
"Bureau, Illinois",32959
"Calhoun, Illinois",4829
"Carroll, Illinois",14314
"Cass, Illinois",12312
"Champaign, Illinois",209918
"Christian, Illinois",32653
"Clark, Illinois",15600
"Clay, Illinois",13266
"Clinton, Illinois",37697
"Coles, Illinois",50829
"Cook, Illinois",5171960
"Crawford, Illinois",18830
"Cumberland, Illinois",10804
"DeKalb, Illinois",104349
"De Witt, Illinois",15794
"Douglas, Illinois",19458
"DuPage, Illinois",927247
"Edgar, Illinois",17360
"Edwards, Illinois",6387
"Effingham, Illinois",34181
"Fayette, Illinois",21368
"Ford, Illinois",13212
"Franklin, Illinois",38695
"Fulton, Illinois",34830
"Gallatin, Illinois",5045
"Greene, Illinois",13065
"Grundy, Illinois",50973
"Hamilton, Illinois",8148
"Hancock, Illinois",17828
"Hardin, Illinois",3893
"Henderson, Illinois",6697
"Henry, Illinois",49069
"Iroquois, Illinois",27484
"Jackson, Illinois",57289
"Jasper, Illinois",9624
"Jefferson, Illinois",37708
"Jersey, Illinois",21795
"Jo Daviess, Illinois",21331
"Johnson, Illinois",12423
"Kane, Illinois",532720
"Kankakee, Illinois",109953
"Kendall, Illinois",127717
"Knox, Illinois",49978
"Lake, Illinois",699587
"LaSalle, Illinois",109159
